video_id,datetime,title,description
15Kd9OPn7tw,2023-12-11T18:29:09Z,4 Ways to Measure Fat Tails with Python (+ Example Code),"This is the 3rd video in a series about Power Laws and Fat Tails. In this video, I break down 4 ways we can quantify fat tails and ..."
TyhlSNB5Ko0,2023-12-11T15:23:39Z,How I’d learn data analytics (if I had to start over in 2024) #dataanalytics,""
rtUpRMWFu7k,2023-12-06T14:51:18Z,How to Move Toward Your DREAM LIFE #getpaidtolive,Watch the full episode here: https://youtu.be/GP-PIT164lc?si=xmX85047tIH0Ko6i.
8uwHRVaRsmY,2023-12-04T14:56:41Z,PCA explained in 60 seconds #datascience,""
x5-IW1m3zPo,2023-11-30T23:54:09Z,Detecting Power Laws in Real-world Data | w/ Python Code,"This is the 2nd video in a series about Power Laws and Fat Tails. In this video, I describe how to objectively detect Power Laws ..."
0oBoHwwJYJQ,2023-11-27T17:29:19Z,Do NOT become an entrepreneur #entrepreneurship,""
2Axas1OvafQ,2023-11-20T19:35:35Z,DON’T study Gen AI #generativeai,""
Wcqt49dXtm8,2023-11-15T16:06:40Z,"Pareto, Power Laws, and Fat Tails","In this video, I give a beginner-friendly guide to Power Laws and describe 3 problems with using traditional statistical methods to ..."
JgWV1skSpEc,2023-10-25T16:44:10Z,I Spent $716.46 Talking to Data Scientists on Upwork—Here’s what I learned.,The Data Entrepreneurs: https://www.youtube.com/@TheDataEntrepreneurs I paid top data freelancers to talk to me (again). Here ...
Xn_Zw6KSxYU,2023-10-18T16:04:24Z,I Have 90 Days to Make $10k/mo—Here&#39;s my plan,"The Data Entrepreneurs: https://www.youtube.com/@TheDataEntrepreneurs 3 months ago, I left my 6F corporate data science job ..."
ZLbVdvOoTKM,2023-10-05T19:01:23Z,How to Build an LLM from Scratch | An Overview,"This is the 6th video in a series on using large language models (LLMs) in practice. Here, I review key aspects of developing a ..."
eC6Hd1hFvos,2023-10-01T20:19:38Z,Fine-tuning Large Language Models (LLMs) | w/ Example Code,"This is the 5th video in a series on using large language models (LLMs) in practice. Here, I discuss how to fine-tune an existing ..."
FEEvnpfD16c,2023-09-30T13:03:33Z,The REALITY of entrepreneurship. #entrepreneurship #startup #smallbusiness,""
0cf7vzM_dZ0,2023-09-26T22:38:42Z,Prompt Engineering: How to Trick AI into Solving Your Problems,"This is the 4th video in a series on using large language models (LLMs) in practice. Here, I review Prompt Engineering, ..."
LRLH_yIxHrI,2023-08-29T19:25:48Z,"Why I Quit My $150,000 Data Science Job",The Data Entrepreneurs: https://www.youtube.com/@TheDataEntrepreneurs I recently decided to leave my well-paying corporate ...
jan07gloaRg,2023-08-10T19:48:23Z,The Hugging Face Transformers Library | Example Code + Chatbot UI with Gradio,"This is the 3rd video in a series on using large language models (LLMs) in practice. Here, I give a beginner-friendly guide to the ..."
czvVibB2lRA,2023-07-28T15:24:51Z,The OpenAI (Python) API | Introduction &amp; Example Code,This is the 2nd video in a series on using Large Language Models (LLMs) in practice. Here I present a beginner-friendly ...
4oUOJ37GKYE,2023-07-24T13:50:51Z,"The more they hurt you, the stronger you get #antifragile",""
tFHeUSJAYbE,2023-07-22T14:45:18Z,A Practical Introduction to Large Language Models (LLMs),This is the 1st video in a series on using large language models (LLMs) in practice. I introduce LLMs and three levels of working ...
